Stage,Nozzle,Height (m),Manufacture CO2 (kg),Battery CO2 (kg),Dye CO2 (kg),Total CO2 (kg),Manufacture Energy (MJ),Battery Energy (MJ),Dye Energy (MJ),Total Energy (MJ)
Rosette,Flat Fan,1.5,20.0,1.6,0.0125,21.61,200.0,7.2,0.0025,207.2
Rosette,Flat Fan,2.0,20.0,1.6,0.0125,21.61,200.0,7.2,0.0025,207.2
Rosette,Flat Fan,2.5,20.0,1.6,0.0125,21.61,200.0,7.2,0.0025,207.2
Rosette,Flat Fan,3.0,20.0,1.6,0.0125,21.61,200.0,7.2,0.0025,207.2
Rosette,Wide Flat Fan,1.5,20.0,1.6,0.0125,21.61,200.0,7.2,0.0025,207.2
Rosette,Wide Flat Fan,2.0,20.0,1.6,0.0125,21.61,200.0,7.2,0.0025,207.2
Rosette,Wide Flat Fan,2.5,20.0,1.6,0.0125,21.61,200.0,7.2,0.0025,207.2
Rosette,Wide Flat Fan,3.0,20.0,1.6,0.0125,21.61,200.0,7.2,0.0025,207.2
Rosette,Hollow Cone,1.5,20.0,1.6,0.0125,21.61,200.0,7.2,0.0025,207.2
Rosette,Hollow Cone,2.0,20.0,1.6,0.0125,21.61,200.0,7.2,0.0025,207.2
Rosette,Hollow Cone,2.5,20.0,1.6,0.0125,21.61,200.0,7.2,0.0025,207.2
Rosette,Hollow Cone,3.0,20.0,1.6,0.0125,21.61,200.0,7.2,0.0025,207.2
Rosette,Twin Flat Fan,1.5,20.0,1.6,0.0125,21.61,200.0,7.2,0.0025,207.2
Rosette,Twin Flat Fan,2.0,20.0,1.6,0.0125,21.61,200.0,7.2,0.0025,207.2
Rosette,Twin Flat Fan,2.5,20.0,1.6,0.0125,21.61,200.0,7.2,0.0025,207.2
Rosette,Twin Flat Fan,3.0,20.0,1.6,0.0125,21.61,200.0,7.2,0.0025,207.2
Flowering,Flat Fan,1.5,20.0,1.6,0.0125,21.61,200.0,7.2,0.0025,207.2
Flowering,Flat Fan,2.0,20.0,1.6,0.0125,21.61,200.0,7.2,0.0025,207.2
Flowering,Flat Fan,2.5,20.0,1.6,0.0125,21.61,200.0,7.2,0.0025,207.2
Flowering,Flat Fan,3.0,20.0,1.6,0.0125,21.61,200.0,7.2,0.0025,207.2
Flowering,Wide Flat Fan,1.5,20.0,1.6,0.0125,21.61,200.0,7.2,0.0025,207.2
Flowering,Wide Flat Fan,2.0,20.0,1.6,0.0125,21.61,200.0,7.2,0.0025,207.2
Flowering,Wide Flat Fan,2.5,20.0,1.6,0.0125,21.61,200.0,7.2,0.0025,207.2
Flowering,Wide Flat Fan,3.0,20.0,1.6,0.0125,21.61,200.0,7.2,0.0025,207.2
Flowering,Hollow Cone,1.5,20.0,1.6,0.0125,21.61,200.0,7.2,0.0025,207.2
Flowering,Hollow Cone,2.0,20.0,1.6,0.0125,21.61,200.0,7.2,0.0025,207.2
Flowering,Hollow Cone,2.5,20.0,1.6,0.0125,21.61,200.0,7.2,0.0025,207.2
Flowering,Hollow Cone,3.0,20.0,1.6,0.0125,21.61,200.0,7.2,0.0025,207.2
Flowering,Twin Flat Fan,1.5,20.0,1.6,0.0125,21.61,200.0,7.2,0.0025,207.2
Flowering,Twin Flat Fan,2.0,20.0,1.6,0.0125,21.61,200.0,7.2,0.0025,207.2
Flowering,Twin Flat Fan,2.5,20.0,1.6,0.0125,21.61,200.0,7.2,0.0025,207.2
Flowering,Twin Flat Fan,3.0,20.0,1.6,0.0125,21.61,200.0,7.2,0.0025,207.2
Pod Formation,Flat Fan,1.5,20.0,1.6,0.0125,21.61,200.0,7.2,0.0025,207.2
Pod Formation,Flat Fan,2.0,20.0,1.6,0.0125,21.61,200.0,7.2,0.0025,207.2
Pod Formation,Flat Fan,2.5,20.0,1.6,0.0125,21.61,200.0,7.2,0.0025,207.2
Pod Formation,Flat Fan,3.0,20.0,1.6,0.0125,21.61,200.0,7.2,0.0025,207.2
Pod Formation,Wide Flat Fan,1.5,20.0,1.6,0.0125,21.61,200.0,7.2,0.0025,207.2
Pod Formation,Wide Flat Fan,2.0,20.0,1.6,0.0125,21.61,200.0,7.2,0.0025,207.2
Pod Formation,Wide Flat Fan,2.5,20.0,1.6,0.0125,21.61,200.0,7.2,0.0025,207.2
Pod Formation,Wide Flat Fan,3.0,20.0,1.6,0.0125,21.61,200.0,7.2,0.0025,207.2
Pod Formation,Hollow Cone,1.5,20.0,1.6,0.0125,21.61,200.0,7.2,0.0025,207.2
Pod Formation,Hollow Cone,2.0,20.0,1.6,0.0125,21.61,200.0,7.2,0.0025,207.2
Pod Formation,Hollow Cone,2.5,20.0,1.6,0.0125,21.61,200.0,7.2,0.0025,207.2
Pod Formation,Hollow Cone,3.0,20.0,1.6,0.0125,21.61,200.0,7.2,0.0025,207.2
Pod Formation,Twin Flat Fan,1.5,20.0,1.6,0.0125,21.61,200.0,7.2,0.0025,207.2
Pod Formation,Twin Flat Fan,2.0,20.0,1.6,0.0125,21.61,200.0,7.2,0.0025,207.2
Pod Formation,Twin Flat Fan,2.5,20.0,1.6,0.0125,21.61,200.0,7.2,0.0025,207.2
Pod Formation,Twin Flat Fan,3.0,20.0,1.6,0.0125,21.61,200.0,7.2,0.0025,207.2
