Nozzle,Stage,Height,Drift_Mean,Drift_SD
Flat Fan (N-1),Flowering,1.5,1.2333333333333334,0.26102362600602524
Flat Fan (N-1),Flowering,2.0,1.09,0.2193171219946131
Flat Fan (N-1),Flowering,2.5,0.49,0.09165151389911677
Flat Fan (N-1),Flowering,3.0,1.12,0.23259406699226015
Flat Fan (N-1),Pod Formation,1.5,0.8033333333333333,0.38083242158898883
Flat Fan (N-1),Pod Formation,2.0,0.9333333333333332,0.5507570547286103
Flat Fan (N-1),Pod Formation,2.5,1.0133333333333334,0.34486712417006843
Flat Fan (N-1),Pod Formation,3.0,0.8300000000000001,0.4938623289946298
Flat Fan (N-1),Rosette,1.5,0.8566666666666668,0.48169838419215544
Flat Fan (N-1),Rosette,2.0,0.93,0.2622975409720801
Flat Fan (N-1),Rosette,2.5,0.77,0.39686269665968865
Flat Fan (N-1),Rosette,3.0,0.6533333333333333,0.45368858629387326
Flat Fan - Wide (N-2),Flowering,1.5,1.0133333333333334,0.38695391629150544
Flat Fan - Wide (N-2),Flowering,2.0,0.7666666666666666,0.3401960219246153
Flat Fan - Wide (N-2),Flowering,2.5,1.0366666666666668,0.642365420405966
Flat Fan - Wide (N-2),Flowering,3.0,0.7433333333333333,0.4479211240088296
Flat Fan - Wide (N-2),Pod Formation,1.5,1.17,0.22271057451320087
Flat Fan - Wide (N-2),Pod Formation,2.0,0.6366666666666667,0.31628046625318695
Flat Fan - Wide (N-2),Pod Formation,2.5,0.71,0.24269322199023194
Flat Fan - Wide (N-2),Pod Formation,3.0,0.98,0.5339475629684997
Flat Fan - Wide (N-2),Rosette,1.5,0.9,0.3822302970723278
Flat Fan - Wide (N-2),Rosette,2.0,0.9866666666666667,0.3360555509634283
Flat Fan - Wide (N-2),Rosette,2.5,1.3533333333333335,0.12096831541082691
Flat Fan - Wide (N-2),Rosette,3.0,0.6266666666666666,0.48788659884581104
Hollow Cone (N-3),Flowering,1.5,0.7866666666666666,0.40648903224236366
Hollow Cone (N-3),Flowering,2.0,0.8933333333333334,0.3372437298651131
Hollow Cone (N-3),Flowering,2.5,0.87,0.24248711305964274
Hollow Cone (N-3),Flowering,3.0,0.7033333333333333,0.1703917055884274
Hollow Cone (N-3),Pod Formation,1.5,0.8766666666666666,0.5052062285179522
Hollow Cone (N-3),Pod Formation,2.0,0.86,0.53113086899558
Hollow Cone (N-3),Pod Formation,2.5,0.8733333333333334,0.5553677460326025
Hollow Cone (N-3),Pod Formation,3.0,0.69,0.45923850012820133
Hollow Cone (N-3),Rosette,1.5,0.7200000000000001,0.33645207682521444
Hollow Cone (N-3),Rosette,2.0,0.6133333333333334,0.22368132093076828
Hollow Cone (N-3),Rosette,2.5,0.6466666666666666,0.07371114795831994
Hollow Cone (N-3),Rosette,3.0,0.7000000000000001,0.3260368077380221
Twin Flat Fan (N-4),Flowering,1.5,0.65,0.5121523210920751
Twin Flat Fan (N-4),Flowering,2.0,1.05,0.32603680773802207
Twin Flat Fan (N-4),Flowering,2.5,0.7799999999999999,0.04000000000000002
Twin Flat Fan (N-4),Flowering,3.0,0.9633333333333334,0.5147167505855365
Twin Flat Fan (N-4),Pod Formation,1.5,1.09,0.06928203230275493
Twin Flat Fan (N-4),Pod Formation,2.0,1.01,0.5692978130996114
Twin Flat Fan (N-4),Pod Formation,2.5,1.0066666666666666,0.23028967265887834
Twin Flat Fan (N-4),Pod Formation,3.0,0.9900000000000001,0.4951767361255979
Twin Flat Fan (N-4),Rosette,1.5,0.9033333333333333,0.5451910979953115
Twin Flat Fan (N-4),Rosette,2.0,0.93,0.3915354390090379
Twin Flat Fan (N-4),Rosette,2.5,0.9533333333333333,0.41101500378128925
Twin Flat Fan (N-4),Rosette,3.0,0.7233333333333333,0.4350095784386056
