DMU,CE,DR,GWP_inv,CED_inv
Flowering_Flat Fan (N-1)_1.5,0.6362062138996024,0.05522279035792552,,
Flowering_Flat Fan (N-1)_2.0,0.5167687764682971,0.1371187701462931,,
Flowering_Flat Fan (N-1)_2.5,0.6207768974859139,1.0,,
Flowering_Flat Fan (N-1)_3.0,0.17953973101859255,0.11824324324324327,,
Flowering_Flat Fan - Wide (N-2)_1.5,0.473999590078078,0.19043385490753922,,
Flowering_Flat Fan - Wide (N-2)_2.0,0.5960136225125177,0.43431257344300805,,
Flowering_Flat Fan - Wide (N-2)_2.5,0.6452190469772563,0.17337272964282602,,
Flowering_Flat Fan - Wide (N-2)_3.0,0.06895997428066222,0.465761725851412,,
Flowering_Hollow Cone (N-3)_1.5,0.6232809215705359,0.40884104443426506,,
Flowering_Hollow Cone (N-3)_2.0,0.614691838731549,0.2922549415086728,,
Flowering_Hollow Cone (N-3)_2.5,0.7526235846451257,0.3153153153153153,,
Flowering_Hollow Cone (N-3)_3.0,0.32772743796890047,0.5245292686050982,,
Flowering_Twin Flat Fan (N-4)_1.5,0.7961370252586747,0.614137214137214,,
Flowering_Twin Flat Fan (N-4)_2.0,0.715078339080186,0.16396396396396407,,
Flowering_Twin Flat Fan (N-4)_2.5,0.4316970594428072,0.4171864171864173,,
Flowering_Twin Flat Fan (N-4)_3.0,0.605786435917115,0.22977648929206004,,
Pod Formation_Flat Fan (N-1)_1.5,0.6194341745700047,0.38858360435123923,,
Pod Formation_Flat Fan (N-1)_2.0,0.4358815014897513,0.25540540540540557,,
Pod Formation_Flat Fan (N-1)_2.5,0.13345760839547066,0.19043385490753922,,
Pod Formation_Flat Fan (N-1)_3.0,0.703716578811351,0.35786388798436986,,
Pod Formation_Flat Fan - Wide (N-2)_1.5,0.3343699243917351,0.08893508893508907,,
Pod Formation_Flat Fan - Wide (N-2)_2.0,0.6174942925453026,0.6388849582566859,,
Pod Formation_Flat Fan - Wide (N-2)_2.5,0.3240273754507017,0.5142748382185003,,
Pod Formation_Flat Fan - Wide (N-2)_3.0,0.5601164437510899,0.21621621621621612,,
Pod Formation_Hollow Cone (N-3)_1.5,0.49523119503160784,0.3086013770424419,,
Pod Formation_Hollow Cone (N-3)_2.0,0.707030869020712,0.32558139534883745,,
Pod Formation_Hollow Cone (N-3)_2.5,0.5893427802712398,0.3119455333195791,,
Pod Formation_Hollow Cone (N-3)_3.0,0.470956539087014,0.5456325891108501,,
Pod Formation_Twin Flat Fan (N-4)_1.5,0.5791546290390832,0.1371187701462931,,
Pod Formation_Twin Flat Fan (N-4)_2.0,0.3247881215512164,0.1929355097671929,,
Pod Formation_Twin Flat Fan (N-4)_2.5,0.7346411458529629,0.19545373187757314,,
Pod Formation_Twin Flat Fan (N-4)_3.0,0.4922865292970983,0.20829920829920823,,
Rosette_Flat Fan (N-1)_1.5,0.5047924440655678,0.329056683142286,,
Rosette_Flat Fan (N-1)_2.0,0.4454250711425843,0.25835512932287125,,
Rosette_Flat Fan (N-1)_2.5,0.5365869742759122,0.42997542997543,,
Rosette_Flat Fan (N-1)_3.0,0.5171797416177863,0.608108108108108,,
Rosette_Flat Fan - Wide (N-2)_1.5,0.4181003279686122,0.285885885885886,,
Rosette_Flat Fan - Wide (N-2)_2.0,0.7011333138094361,0.21092037983929887,,
Rosette_Flat Fan - Wide (N-2)_2.5,0.5749164274678583,0.0,,
Rosette_Flat Fan - Wide (N-2)_3.0,0.4601251491538244,0.6581368602645199,,
Rosette_Hollow Cone (N-3)_1.5,0.5632543951740547,0.499249249249249,,
Rosette_Hollow Cone (N-3)_2.0,0.24280937507505146,0.6847826086956521,,
Rosette_Hollow Cone (N-3)_2.5,0.4546089380824786,0.620228475898579,,
Rosette_Hollow Cone (N-3)_3.0,0.5425970427112092,0.5297297297297295,,
Rosette_Twin Flat Fan (N-4)_1.5,0.26176129430560546,0.2827366111498954,,
Rosette_Twin Flat Fan (N-4)_2.0,0.1333471816269743,0.25835512932287125,,
Rosette_Twin Flat Fan (N-4)_2.5,0.453240744871725,0.2381402381402382,,
Rosette_Twin Flat Fan (N-4)_3.0,0.18753622719387567,0.4943330427201395,,
