Stage,Nozzle,Height,SprayVolume,CED,Coverage,PenetrationIndex,DriftReduction,GWP
Flowering,Flat Fan (N-1),1.5,29.05,209.0027,76.57000000000001,88.83666666666666,0.8108108108108107,22.01518
Flowering,Flat Fan (N-1),2.0,30.583333333333332,209.0027,79.53666666666666,79.61666666666666,0.9174311926605504,22.01518
Flowering,Flat Fan (N-1),2.5,26.69666666666667,209.0027,82.65333333333334,81.00999999999999,2.0408163265306123,22.01518
Flowering,Flat Fan (N-1),3.0,26.849999999999998,209.0027,68.74333333333333,75.89999999999999,0.8928571428571428,22.01518
Flowering,Flat Fan - Wide (N-2),1.5,25.246666666666666,209.0027,76.44,81.15666666666667,0.9868421052631579,22.01518
Flowering,Flat Fan - Wide (N-2),2.0,24.86,209.0027,80.04,82.85666666666667,1.3043478260869565,22.01518
Flowering,Flat Fan - Wide (N-2),2.5,30.25,209.0027,77.17,88.57333333333334,0.9646302250803857,22.01518
Flowering,Flat Fan - Wide (N-2),3.0,32.47,209.0027,67.61333333333333,71.87666666666667,1.345291479820628,22.01518
Flowering,Hollow Cone (N-3),1.5,25.8,209.0027,76.62666666666667,88.14666666666666,1.2711864406779663,22.01518
Flowering,Hollow Cone (N-3),2.0,28.50666666666667,209.0027,74.97333333333334,89.65666666666668,1.1194029850746268,22.01518
Flowering,Hollow Cone (N-3),2.5,28.526666666666667,209.0027,85.49000000000001,84.07333333333334,1.1494252873563218,22.01518
Flowering,Hollow Cone (N-3),3.0,29.993333333333336,209.0027,70.90333333333334,80.54,1.4218009478672988,22.01518
Flowering,Twin Flat Fan (N-4),1.5,28.483333333333334,209.0027,82.32666666666667,89.85666666666667,1.5384615384615383,22.01518
Flowering,Twin Flat Fan (N-4),2.0,26.00333333333333,209.0027,85.45333333333333,82.30333333333333,0.9523809523809523,22.01518
Flowering,Twin Flat Fan (N-4),2.5,30.10666666666667,209.0027,76.06,79.55666666666667,1.2820512820512822,22.01518
Flowering,Twin Flat Fan (N-4),3.0,25.673333333333332,209.0027,81.06666666666666,82.13333333333333,1.0380622837370241,22.01518
Pod Formation,Flat Fan (N-1),1.5,31.44666666666667,209.0027,69.70666666666666,96.01666666666667,1.2448132780082988,22.01518
Pod Formation,Flat Fan (N-1),2.0,27.56,209.0027,72.86333333333333,83.48,1.0714285714285716,22.01518
Pod Formation,Flat Fan (N-1),2.5,30.433333333333334,209.0027,64.75333333333333,78.32,0.9868421052631579,22.01518
Pod Formation,Flat Fan (N-1),3.0,24.863333333333333,209.0027,79.20666666666666,89.02666666666666,1.2048192771084336,22.01518
Pod Formation,Flat Fan - Wide (N-2),1.5,26.316666666666666,209.0027,71.72,79.91000000000001,0.8547008547008548,22.01518
Pod Formation,Flat Fan - Wide (N-2),2.0,29.96666666666667,209.0027,79.65666666666667,84.33999999999999,1.5706806282722512,22.01518
Pod Formation,Flat Fan - Wide (N-2),2.5,30.903333333333336,209.0027,71.46,79.71333333333332,1.4084507042253522,22.01518
Pod Formation,Flat Fan - Wide (N-2),3.0,28.51,209.0027,77.99,83.51,1.0204081632653061,22.01518
Pod Formation,Hollow Cone (N-3),1.5,24.596666666666664,209.0027,79.25333333333333,78.90666666666668,1.140684410646388,22.01518
Pod Formation,Hollow Cone (N-3),2.0,25.69333333333333,209.0027,77.23666666666666,91.48,1.1627906976744187,22.01518
Pod Formation,Hollow Cone (N-3),2.5,28.92,209.0027,71.03,93.02333333333333,1.1450381679389312,22.01518
Pod Formation,Hollow Cone (N-3),3.0,28.0,209.0027,72.17333333333333,85.97666666666667,1.4492753623188408,22.01518
Pod Formation,Twin Flat Fan (N-4),1.5,27.316666666666666,209.0027,72.64333333333333,90.65333333333332,0.9174311926605504,22.01518
Pod Formation,Twin Flat Fan (N-4),2.0,29.159999999999997,209.0027,73.83666666666666,76.98333333333333,0.9900990099009901,22.01518
Pod Formation,Twin Flat Fan (N-4),2.5,26.596666666666668,209.0027,83.47,85.55666666666667,0.9933774834437087,22.01518
Pod Formation,Twin Flat Fan (N-4),3.0,28.996666666666666,209.0027,67.66333333333334,92.25666666666666,1.01010101010101,22.01518
Rosette,Flat Fan (N-1),1.5,25.52,209.0027,77.09,81.88666666666667,1.1673151750972761,22.01518
Rosette,Flat Fan (N-1),2.0,27.22666666666667,209.0027,72.56333333333333,84.29,1.075268817204301,22.01518
Rosette,Flat Fan (N-1),2.5,26.423333333333332,209.0027,74.23666666666666,86.74333333333334,1.2987012987012987,22.01518
Rosette,Flat Fan (N-1),3.0,33.156666666666666,209.0027,68.46666666666665,92.52333333333333,1.530612244897959,22.01518
Rosette,Flat Fan - Wide (N-2),1.5,28.646666666666665,209.0027,75.75666666666667,79.25333333333333,1.1111111111111112,22.01518
Rosette,Flat Fan - Wide (N-2),2.0,30.166666666666668,209.0027,79.09666666666666,89.02999999999999,1.0135135135135136,22.01518
Rosette,Flat Fan - Wide (N-2),2.5,25.566666666666666,209.0027,75.98666666666666,86.55666666666667,0.7389162561576353,22.01518
Rosette,Flat Fan - Wide (N-2),3.0,29.506666666666664,209.0027,73.11,84.36333333333333,1.595744680851064,22.01518
Rosette,Hollow Cone (N-3),1.5,29.036666666666665,209.0027,79.58333333333333,81.80666666666667,1.3888888888888886,22.01518
Rosette,Hollow Cone (N-3),2.0,28.14,209.0027,65.60333333333334,82.61,1.6304347826086956,22.01518
Rosette,Hollow Cone (N-3),2.5,30.59,209.0027,72.32,85.01666666666667,1.5463917525773196,22.01518
Rosette,Hollow Cone (N-3),3.0,28.426666666666666,209.0027,73.08,88.38,1.4285714285714284,22.01518
Rosette,Twin Flat Fan (N-4),1.5,26.463333333333335,209.0027,67.78666666666666,80.98333333333333,1.1070110701107012,22.01518
Rosette,Twin Flat Fan (N-4),2.0,31.986666666666668,209.0027,65.75666666666666,77.14666666666666,1.075268817204301,22.01518
Rosette,Twin Flat Fan (N-4),2.5,30.48,209.0027,72.95333333333333,84.21333333333332,1.048951048951049,22.01518
Rosette,Twin Flat Fan (N-4),3.0,22.953333333333333,209.0027,65.26666666666667,80.33333333333333,1.3824884792626728,22.01518
